customerID,gender,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,tenure_group,Churn
7590-VHVEG,Female,1,29.85,29.85,Month-to-month,DSL,"Electronic check",New,No
5575-GNVDE,Male,34,56.95,1889.50,"One year",DSL,"Mailed check",Loyal,No
3668-QPYBK,Male,2,53.85,108.15,Month-to-month,DSL,"Mailed check",New,Yes
7795-CFOCW,Male,45,42.30,1840.75,"One year",DSL,"Bank transfer (automatic)",Loyal,No
9237-HQITU,Female,2,70.70,151.65,Month-to-month,"Fiber optic","Electronic check",New,Yes
9305-CDSKC,Female,8,99.65,820.50,Month-to-month,"Fiber optic","Electronic check",Mid,Yes
1452-KIOVK,Male,22,89.10,1949.40,Month-to-month,"Fiber optic","Credit card (automatic)",Loyal,No
6713-OKOMC,Female,10,29.75,301.90,Month-to-month,DSL,"Mailed check",Mid,No
7892-POOKP,Female,28,104.80,3046.05,Month-to-month,"Fiber optic","Electronic check",Loyal,Yes
6388-TABGU,Male,62,56.15,3487.95,"One year",DSL,"Bank transfer (automatic)",Loyal,No
9763-GRSKD,Male,13,49.95,587.45,Month-to-month,DSL,"Mailed check",Loyal,No
8091-TTVAX,Male,58,100.35,5681.10,"One year","Fiber optic","Credit card (automatic)",Loyal,No
0280-XJGEX,Male,49,103.70,5036.30,Month-to-month,"Fiber optic","Bank transfer (automatic)",Loyal,Yes
5129-JLPIS,Male,25,105.50,2686.05,Month-to-month,"Fiber optic","Electronic check",Loyal,No
3655-SNQYZ,Female,69,113.25,7895.15,"Two year","Fiber optic","Credit card (automatic)",Loyal,No
9959-WOFKT,Male,71,106.70,7382.25,"Two year","Fiber optic","Bank transfer (automatic)",Loyal,No
4190-MFLUW,Female,10,55.20,528.35,Month-to-month,DSL,"Credit card (automatic)",Mid,Yes
4183-MYFRB,Female,21,90.05,1862.90,Month-to-month,"Fiber optic","Electronic check",Loyal,No
8779-QRDMV,Male,1,39.65,39.65,Month-to-month,DSL,"Electronic check",New,Yes
3638-WEABW,Female,58,59.90,3505.10,"Two year",DSL,"Credit card (automatic)",Loyal,No
6322-HRPFA,Male,49,59.60,2970.30,Month-to-month,DSL,"Credit card (automatic)",Loyal,No
6865-JZNKO,Female,30,55.30,1530.60,Month-to-month,DSL,"Bank transfer (automatic)",Loyal,No
6467-CHFZW,Male,47,99.35,4749.15,Month-to-month,"Fiber optic","Electronic check",Loyal,Yes
8665-UTDHZ,Male,1,30.20,30.20,Month-to-month,DSL,"Electronic check",New,Yes
5248-YGIJN,Male,72,90.25,6369.45,"Two year",DSL,"Credit card (automatic)",Loyal,No
8773-HHUOZ,Female,17,64.70,1093.10,Month-to-month,DSL,"Mailed check",Loyal,Yes
3841-NFECX,Female,71,96.35,6766.95,"Two year","Fiber optic","Credit card (automatic)",Loyal,No
4929-XIHVW,Male,2,95.50,181.65,Month-to-month,"Fiber optic","Credit card (automatic)",New,No
6827-IEAUQ,Female,27,66.15,1874.45,"One year",DSL,"Mailed check",Loyal,No
3413-BMNZE,Male,1,45.25,45.25,Month-to-month,DSL,"Bank transfer (automatic)",New,No
6234-RAAPL,Female,72,99.90,7251.70,"Two year","Fiber optic","Bank transfer (automatic)",Loyal,No
6047-YHPVI,Male,5,69.70,316.90,Month-to-month,"Fiber optic","Electronic check",New,Yes
6572-ADKRS,Female,46,74.80,3548.30,Month-to-month,"Fiber optic","Credit card (automatic)",Loyal,No
5380-WJKOV,Male,34,106.35,3549.25,Month-to-month,"Fiber optic","Electronic check",Loyal,Yes
8168-UQWWF,Female,11,97.85,1105.40,Month-to-month,"Fiber optic","Bank transfer (automatic)",Mid,Yes
8865-TNMNX,Male,10,49.55,475.70,"One year",DSL,"Mailed check",Mid,No
9489-DEDVP,Female,70,69.20,4872.35,"Two year",DSL,"Credit card (automatic)",Loyal,No
4671-VJLCL,Female,63,79.85,4861.45,"Two year",DSL,"Credit card (automatic)",Loyal,No
4080-IIARD,Female,13,76.20,981.45,Month-to-month,DSL,"Electronic check",Loyal,No
3714-NTNFO,Female,49,84.50,3906.70,Month-to-month,"Fiber optic","Electronic check",Loyal,No
5948-UJZLF,Male,2,49.25,97.00,Month-to-month,DSL,"Mailed check",New,No
7760-OYPDY,Female,2,80.65,144.15,Month-to-month,"Fiber optic","Electronic check",New,Yes
7639-LIAYI,Male,52,79.75,4217.80,"Two year",DSL,"Credit card (automatic)",Loyal,No
