,tenure,MonthlyCharges,TotalCharges,gender_Male,Contract_One year,Contract_Two year,InternetService_Fiber optic,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_Mid,tenure_group_New,Churn_Yes
0,1,29.85,29.85,False,False,False,False,False,True,False,False,True,False
1,34,56.95,1889.5,True,True,False,False,False,False,True,False,False,False
2,2,53.85,108.15,True,False,False,False,False,False,True,False,True,True
3,45,42.3,1840.75,True,True,False,False,False,False,False,False,False,False
4,2,70.7,151.65,False,False,False,True,False,True,False,False,True,True
5,8,99.65,820.5,False,False,False,True,False,True,False,True,False,True
6,22,89.1,1949.4,True,False,False,True,True,False,False,False,False,False
7,10,29.75,301.9,False,False,False,False,False,False,True,True,False,False
8,28,104.8,3046.05,False,False,False,True,False,True,False,False,False,True
9,62,56.15,3487.95,True,True,False,False,False,False,False,False,False,False
10,13,49.95,587.45,True,False,False,False,False,False,True,False,False,False
11,58,100.35,5681.1,True,True,False,True,True,False,False,False,False,False
12,49,103.7,5036.3,True,False,False,True,False,False,False,False,False,True
13,25,105.5,2686.05,True,False,False,True,False,True,False,False,False,False
14,69,113.25,7895.15,False,False,True,True,True,False,False,False,False,False
15,71,106.7,7382.25,True,False,True,True,False,False,False,False,False,False
16,10,55.2,528.35,False,False,False,False,True,False,False,True,False,True
17,21,90.05,1862.9,False,False,False,True,False,True,False,False,False,False
18,1,39.65,39.65,True,False,False,False,False,True,False,False,True,True
19,58,59.9,3505.1,False,False,True,False,True,False,False,False,False,False
20,49,59.6,2970.3,True,False,False,False,True,False,False,False,False,False
21,30,55.3,1530.6,False,False,False,False,False,False,False,False,False,False
22,47,99.35,4749.15,True,False,False,True,False,True,False,False,False,True
23,1,30.2,30.2,True,False,False,False,False,True,False,False,True,True
24,72,90.25,6369.45,True,False,True,False,True,False,False,False,False,False
25,17,64.7,1093.1,False,False,False,False,False,False,True,False,False,True
26,71,96.35,6766.95,False,False,True,True,True,False,False,False,False,False
27,2,95.5,181.65,True,False,False,True,True,False,False,False,True,False
28,27,66.15,1874.45,False,True,False,False,False,False,True,False,False,False
29,1,45.25,45.25,True,False,False,False,False,False,False,False,True,False
30,72,99.9,7251.7,False,False,True,True,False,False,False,False,False,False
31,5,69.7,316.9,True,False,False,True,False,True,False,False,True,True
